nomeParlamentar,descricao,fornecedor,cnpjCPF,numero,dataEmissao,valorDocumento,valorGlosa,valorLiquido,mes,ano,lote,numeroDeputadoID,idDocumento,urlDocumento,idDeputado,cnpj_basico,datetime
Dr. Fernando Máximo,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22456974,2023-05-03T00:00:00,3789.54,0,3789.54,5,2023,1935492,3534,7546538,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3534/2023/7546538.pdf,220610.0,06990590,2023-05-01
Dr. Fernando Máximo,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22879098,2023-06-03T00:00:00,10269.1,0,10269.1,5,2023,1940167,3534,7555332,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3534/2023/7555332.pdf,220610.0,06990590,2023-05-01
Dr. Fernando Máximo,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,23310071,2023-07-03T00:00:00,4301.88,0,4301.88,6,2023,1953560,3534,7579742,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3534/2023/7579742.pdf,220610.0,06990590,2023-06-01
Dr. Fernando Máximo,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,23748876,2023-08-03T00:00:00,12408.3,0,12408.3,7,2023,1958976,3534,7590801,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3534/2023/7590801.pdf,220610.0,06990590,2023-07-01
Juliana Cardoso,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,s/n,2023-04-28T00:00:00,34.99,0,34.99,4,2023,1930980,3657,7538010,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3657/2023/7538010.pdf,220640.0,06990590,2023-04-01
Juliana Cardoso,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,s/n,2023-05-28T00:00:00,34.99,0,34.99,5,2023,1942253,3657,7559195,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3657/2023/7559195.pdf,220640.0,06990590,2023-05-01
Juliana Cardoso,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,s/n,2023-06-05T00:00:00,174.99,0,174.99,6,2023,1945827,3657,7565823,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3657/2023/7565823.pdf,220640.0,06990590,2023-06-01
Juliana Cardoso,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,s/n,2023-07-10T00:00:00,174.99,0,174.99,7,2023,1952865,3657,7578537,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3657/2023/7578537.pdf,220640.0,06990590,2023-07-01
Juliana Cardoso,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,sem número,2023-03-28T00:00:00,34.99,0,34.99,3,2023,1920779,3657,7520382,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3657/2023/7520382.pdf,220640.0,06990590,2023-03-01
Juliana Cardoso,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,s/n,2023-03-03T00:00:00,34.99,0,34.99,2,2023,1919430,3657,7517699,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3657/2023/7517699.pdf,220640.0,06990590,2023-02-01
Delegado Matheus Laiola,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22038898,2023-04-02T00:00:00,2996.44,0,2996.44,3,2023,1921508,3599,7521701,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3599/2023/7521701.pdf,220701.0,06990590,2023-03-01
